10.484	0.49595
10.391	1.001
10.034	-0.20092
10.929	0.27043
10.3	0.45221
10.097	-0.91533
10.106	-0.90701
11.039	0.84035
10.269	0.97972
9.7258	0.62112
10.491	0.49139
10.931	-0.90266
10.23	-0.95671
10.425	-0.49338
10.648	0.99438
10.867	0.33914
11.105	0.79966
10.824	-0.94861
10.086	-0.27971
10.584	-0.48535
10.283	0.45466
10.874	0.9257
10.823	0.37868
9.5546	0.29971
9.9924	-0.85545
11.281	-0.61261
10.825	-0.95191
9.9239	0.82985
10.801	0.9501
9.7468	0.66078
9.7943	-0.70538
9.9305	-0.81095
10.538	-0.51757
10.558	-0.48996
11.355	0.51488
10.564	-0.48771
10.494	1.0037
9.5487	-0.30141
10.909	-0.25607
10.827	-0.38596
10.089	0.28016
10.05	0.89412
10.442	-0.99964
11.389	-0.44712
10.166	0.9417
10.425	-0.99097
10.364	-0.48226
10.116	-0.92219
9.9114	-0.81383
11.238	-0.67673
10.74	-0.45209
10.412	-0.4906
10.454	0.99041
10.135	-0.3354
11.039	-0.84878
10.211	0.42313
10.418	-0.48046
10.8	-0.37038
11.023	0.85676
10.336	-0.9857
10.019	0.88011
10.045	-0.221
10.721	-0.97802
10.781	-0.95496
10.217	-0.40492
11.183	-0.72638
11.053	-0.83525
10.013	0.87066
10.535	-0.4865
10.268	-0.44867
10.694	0.48109
9.6349	-0.49924
10.352	-0.47421
10.975	-0.88566
10.963	-0.17673
9.7427	0.6495
10.933	-0.89879
10.554	-0.99556
11.141	0.76206
10.789	-0.95503
9.5574	-0.3419
10.78	0.95738
11.368	0.47274
10.433	-0.48431
10.122	0.92946
10.04	0.22185
10.995	0.12683
10.276	-0.9773
10.338	-0.46646
10.444	-0.98976
10.826	-0.38905
9.8831	-0.78526
10.04	0.16758
9.7762	0.68166
11.339	-0.52953
11.256	0.66703
10.123	-0.32101
9.6446	0.50493
10.68	0.97284
10.813	0.39182
9.8205	-0.74242
10.003	0.13148
10.53	0.50653
10.735	-0.44315
10.471	-0.50323
10.635	0.99288
10.058	-0.90016
11.293	0.61161
11.399	-0.44999
9.8923	0.79989
11.42	0.404
9.6319	-0.49927
10.479	0.99545
9.5045	0.13185
11.457	0.29135
10.391	-0.99341
10.821	-0.37498
10.337	-0.99214
10.903	0.30846
9.767	0.68413
10.545	0.48105
10.707	0.97768
10.65	0.4851
9.8978	0.81467
10.028	0.22328
11.096	-0.80274
10.311	0.98316
11.12	-0.77842
9.5411	0.28979
10.225	0.95706
11.072	-0.81898
10.673	0.98443
